"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BANANA CATURRA KG","1.765,90","","","37,614","127,89","","483,80"
"UVA BRASIL BDJ 500GR","74,95","","","14","117,52","","-85,08"
"PESSEGO KG","223,15","27,110","103,64","7,170","26,12","","-26,39"
"LARANJA BAHIA KG","127,56","3,350","26,83","2,075","23,16","","-1,09"
"MACA PINK KG","174,73","3,200","39,71","1,290","21,66","","-1,05"
"MAMAO KG","322,37","12,250","86,85","2,808","21,45","","36,21"
"PEPINO KG","116,01","7,130","16,98","5,920","20,17","","22,52"
"GENGIBRE KG","6,44","","","1,190","19,60","","-19,21"
"AMEIXA KG","383,94","12,855","84,82","2,475","16,55","","75,18"
"SALSINHA VERDE 1UN","203,32","5","9,85","8","15,60","","82,91"
"CENOURA KG","210,67","","","5,297","14,67","","96,90"
"TOMATE KG","337,21","3,550","18,19","2,178","12,22","","94,26"
"UVA UVARIA SEM SEMENTE 500GR","50,67","","","2","12,00","","2,67"
"MARACUJA KG","17,31","1,150","8,58","1,120","11,91","","-12,43"
"MACA GALA/FUJI KG","567,09","","","1,560","11,72","","202,12"
"UVA ROSADA KG","166,79","11,800","88,51","1,510","11,33","","-88,21"
"NECTARINA KG","73,37","13,700","109,60","1,405","11,24","","-86,63"
"MANGA KG","374,25","18,150","73,61","2,789","10,32","","44,22"
"CEBOLA CONSERVA KG","19,75","1,500","3,36","4,390","9,83","","-4,52"
"PIMENTAO VERMELHO KG","45,10","1,050","7,06","1,303","8,76","","11,66"
"BATATA DOCE ROXA KG","85,05","2,950","8,85","2,650","8,22","","16,60"
"BETERRABA KG","41,09","9,900","34,32","2,340","8,10","","-29,96"
"MELANCIA KG","934,31","15,650","31,30","3,784","7,57","","251,28"
"LARANJA PERA KG","216,09","1,150","3,24","2,525","7,24","","82,80"
"KIWI KG","90,38","","","0,350","6,80","","39,55"
"PIMENTAO AMARELO KG","15,60","0,300","1,47","0,813","6,76","","2,29"
"CEBOLA KG","279,80","0,200","0,32","3,927","6,29","","129,15"
"MORANGO BDJ 200GR","134,85","","","1","6,25","","34,85"
"LIMAO KG","290,64","0,350","0,95","2,130","6,19","","150,09"
"REPOLHO 1UN","129,74","10","25,20","2","5,68","","31,12"
"VAGEM KG","6,24","","","0,750","5,48","","-3,84"
"COUVE FLOR 1UN","69,90","4","21,80","1","5,45","","-11,95"
"MACA VERDE KG","44,78","0,300","3,77","0,380","4,66","","3,25"
"BANANA PRATA KG","266,80","","","0,970","4,53","","80,01"
"MORGOTE KG","75,16","4,500","25,70","0,785","4,48","","1,64"
"BATATA SALSA KG","34,88","3,450","13,80","1,061","4,24","","-7,31"
"ALHO SUPER NATURAL 150GR","6,99","","","1","3,98","","-1,68"
"CEBOLA ROXA KG","65,18","1,700","5,07","1,305","3,89","","36,59"
"ABOBRINHA KG","96,58","3,470","13,32","0,900","3,55","","28,26"
"PERA KG","65,41","5,800","29,64","0,670","3,42","","-3,55"
"PIMENTAO VERDE KG","48,80","0,800","3,20","0,755","3,02","","22,70"
"BATATA ROSA KG","42,31","0,490","1,35","1,040","2,96","","7,11"
"COCO SECO KG","53,21","6,950","29,67","0,545","2,33","","-10,79"
"MELAO AMARELO KG","21,24","2,550","8,72","0,665","2,27","","-3,69"
"CEBOLA REDE AGRO NASCENTE 500GR","27,92","","","1","1,95","","10,37"
"MELAO CAIPIRA KG","","","","0,205","1,44","","-1,44"
"ABOBORA SECA KG","","0,450","1,13","0,450","1,13","","-2,26"
"ABOBORA CABOTIA KG","","1,600","4,35","0,300","0,82","","-5,17"
"BERINGELA KG","3,28","","","0,130","0,78","","-0,32"
"ABOBORA MORANGA KG","","2","3,36","0,050","0,08","","-3,44"
"BATATA KG","880,90","20,050","45,71","","","","329,18"
"OVOS VERMELHOS NEGOSEK 12UN","517,90","","","","","","189,49"
"TOMATE SALADETE KG","459,39","0,500","2,30","","","","120,34"
"OVOS VERMELHOS DROSCZAKA 12UN","435,60","","","","","","132,62"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","421,81","","","","","","141,81"
"PEPINO JAPONES KG","331,15","5,750","44,13","","","","122,77"
"MILHO VERDE BDJ 1UN","320,88","5","27,50","","","","62,38"
"UVA THOMPSON 500GR","249,74","","","","","","133,90"
"ALFACE CRESPA 1UN","201,53","4","10,00","","","","31,53"
"ALHO KG","193,92","0,970","15,73","","","","63,69"
"MORANGO BDJ 500GR","179,88","","","","","","59,88"
"OVOS VERMELHOS DROSCZAKA 30UN","160,93","","","","","","52,99"
"BROCOLIS AMERICANO 1UN","147,02","2","9,00","","","","26,20"
"ALHO PRISA FIGURA 150GR","116,87","","","","","","40,30"
"TOMATE CORACAO BOI BDJ 700GR","111,86","","","","","","41,86"
"UVA ITALIA 500GR","103,10","","","","","","38,06"
"OVOS VERMELHOS NEGOSEK 6UN","95,84","","","","","","35,84"
"MAMAO HAVAI 1UN","95,78","12","46,92","","","","-6,96"
"ABACAXI PEROLA 1UN","89,90","2","12,02","","","","17,78"
"ALFACE AMERICANA 1UN","87,82","2","5,00","","","","37,82"
"ABACAXI GRANDE 1UN","66,62","1","5,51","","","","3,63"
"CEBOLINHA VERDE 1UN","65,07","10","10,00","","","","17,07"
"ALHO AGRO NASCENTE 500GR","59,96","","","","","","25,84"
"VAGEM BDJ 1UN","59,40","5","13,10","","","","30,10"
"UVA VITORIA 500GR","49,50","","","","","","14,65"
"CEBOLA REDE PRISA 1KG","47,94","","","","","","22,14"
"GOIABA KG","43,58","1,200","7,07","","","","14,45"
"ALHO AGRO NASCENTE 150GR","39,95","","","","","","13,35"
"ALFACE ROXA 1UN","34,11","1","2,50","","","","9,11"
"BETERRABA PICADA KG","27,63","","","","","","21,44"
"COCO VERDE 1UN","19,80","5","38,40","","","","-33,96"
"TANGERINA KG","15,51","","","","","","4,11"
"UVA PRETA 500GR","13,99","","","","","","4,09"
"ABACATE KG","12,44","","","","","","10,17"
"COUVE MANTEIGA 1UN","11,97","4","12,00","","","","-9,03"
"RUCULA 1UN","11,97","1","3,00","","","","-0,03"
"UVA ROSADA BJ500GR","8,99","","","","","","4,26"
"AGRIAO UN 1UN","4,99","","","","","","2,00"
"ALFACE HIDROPONICA 1UN","4,99","","","","","","2,24"
"ESCAROLA 1UN","4,49","1","3,00","","","","-1,51"
"TOMATE CEREJA BDJ 300G 1UN","3,99","","","","","","1,24"
"CENOURA BDJ 500GR","3,98","","","","","","1,48"
"TOMATE CEREJA 250GR","","","","","","",""
"ALFACE LISA 1UN","","","","","","",""
"FLOR CRISANTEMO P11 1UN","","3","150,51","","","","-150,51"
"FLOR KALANCHOE DOBRADO P15 1UN","","2","33,12","","","","-33,12"
"BETERRABA MACO UN","","","","","","",""
,"14.219,50",,"1.444,64",,"653,28","0,00","3.314,79"
